Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
32310363,12/31/2015 23:59,1/1/2016 0:55,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10034,71 VERMILYEA AVENUE,VERMILYEA AVENUE,ACADEMY STREET,WEST 204 STREET,,,ADDRESS,NEW YORK,,Precinct,Closed,1/1/2016 7:59,The Police Department responded and upon arrival those responsible for the condition were gone.,1/1/2016 0:55,12 MANHATTAN,MANHATTAN,1005409,254678,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.86568154,-73.92350096,"(40.86568153633767, -73.92350095571744)"
32309934,12/31/2015 23:59,1/1/2016 1:26,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11105,27-07 23 AVENUE,23 AVENUE,27 STREET,28 STREET,,,ADDRESS,ASTORIA,,Precinct,Closed,1/1/2016 7:59,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1/1/2016 1:26,01 QUEENS,QUEENS,1007766,221986,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.77594531,-73.91509394,"(40.775945312321085, -73.91509393898605)"
32309159,12/31/2015 23:59,1/1/2016 4:51,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10458,2897 VALENTINE AVENUE,VALENTINE AVENUE,EAST 198 STREET,EAST 199 STREET,,,ADDRESS,BRONX,,Precinct,Closed,1/1/2016 7:59,The Police Department responded and upon arrival those responsible for the condition were gone.,1/1/2016 4:51,07 BRONX,BRONX,1015081,256380,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.87032452,-73.88852464,"(40.870324522111424, -73.88852464418646)"
32305098,12/31/2015 23:57,1/1/2016 7:43,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,Street/Sidewalk,10461,2940 BAISLEY AVENUE,BAISLEY AVENUE,EDISON AVENUE,B STREET,,,ADDRESS,BRONX,,Precinct,Closed,1/1/2016 7:57,The Police Department responded to the complaint and took action to fix the condition.,1/1/2016 7:43,10 BRONX,BRONX,1031740,243899,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.83599405,-73.8283794,"(40.83599404683083, -73.82837939584206)"
32306529,12/31/2015 23:56,1/1/2016 3:24,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,Street/Sidewalk,11373,87-14 57 ROAD,57 ROAD,SEABURY STREET,HOFFMAN DRIVE,,,ADDRESS,ELMHURST,,Precinct,Closed,1/1/2016 7:56,The Police Department responded and upon arrival those responsible for the condition were gone.,1/1/2016 3:24,04 QUEENS,QUEENS,1019123,206375,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.73305962,-73.87416976,"(40.733059618956815, -73.87416975810375)"
32306554,12/31/2015 23:56,1/1/2016 1:50,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11215,260 21 STREET,21 STREET,5 AVENUE,6 AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,1/1/2016 7:56,The Police Department responded and upon arrival those responsible for the condition were gone.,1/1/2016 1:50,07 BROOKLYN,BROOKLYN,986312,180032,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.66082272,-73.99256786,"(40.66082272389114, -73.99256786342693)"
32306559,12/31/2015 23:55,1/1/2016 1:53,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10032,524 WEST 169 STREET,WEST 169 STREET,AMSTERDAM AVENUE,AUDUBON AVENUE,,,ADDRESS,NEW YORK,,Precinct,Closed,1/1/2016 7:55,The Police Department issued a summons in response to the complaint.,1/1/2016 1:53,12 MANHATTAN,MANHATTAN,1001578,245627,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.84084759,-73.93737509,"(40.840847591440415, -73.9373750864581)"
32307009,12/31/2015 23:54,1/1/2016 1:42,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,10457,501 EAST 171 STREET,EAST 171 STREET,WASHINGTON AVENUE,3 AVENUE,,,ADDRESS,BRONX,,Precinct,Closed,1/1/2016 7:54,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,1/1/2016 1:42,03 BRONX,BRONX,1011117,244417,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.83750263,-73.90290517,"(40.83750262540012, -73.90290517326568)"
32308581,12/31/2015 23:53,1/1/2016 8:27,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11415,83-44 LEFFERTS BOULEVARD,LEFFERTS BOULEVARD,BEND,BEND,,,ADDRESS,KEW GARDENS,,Precinct,Closed,1/1/2016 7:53,The Police Department responded to the complaint and determined that police action was not necessary.,1/1/2016 8:27,09 QUEENS,QUEENS,1030662,196163,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.70497716,-73.83260475,"(40.704977164399935, -73.8326047502584)"
32308391,12/31/2015 23:53,1/1/2016 1:17,NYPD,New York City Police Department,Blocked Driveway,No Access,Street/Sidewalk,11219,1408 66 STREET,66 STREET,14 AVENUE,NEW UTRECHT AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,1/1/2016 7:53,The Police Department responded and upon arrival those responsible for the condition were gone.,1/1/2016 1:17,11 BROOKLYN,BROOKLYN,984378,166541,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.62379307,-73.9995389,"(40.623793065806524, -73.99953890121567)"
